celebrity_name,wikipedia_title,instagram_handle,twitter_handle,tiktok_handle,youtube_url,instagram_followers,twitter_followers,tiktok_followers,youtube_subscribers,facebook_url
AJ McLean,AJ McLean,,,,,,,,,
Aaron Carter,Aaron Carter,,,,,,,,,
Adam Carolla,Adam Carolla,,,,,,,,,
Adam Rippon,Adam Rippon,,,,,,,,,
Adrian Peterson,Adrian Peterson,,,,,,,,,
Aiden Turner,Aiden Turner,,,,,,,,,
Albert Reed,Albert Reed,,,,,,,,,
Alek Skarlatos,Alek Skarlatos,,,,,,,,,
Alexa PenaVega,Alexa PenaVega,,,,,,,,,
Alexandra Raisman,Aly Raisman,,,,,,,,,
Alexis Ren,Alexis Ren,,,,,,,,,
Alfonso Ribeiro,Alfonso Ribeiro,,,,,,,,,
Alix Earle,Alix Earle,,,alixearle,https://www.youtube.com/@hotmess,,,8300000.0,,
Ally Brooke,Ally Brooke,,,,,,,,,
Alyson Hannigan,Alyson Hannigan,,,,,,,,,
Amanda Kloots,Amanda Kloots,,,,,,,,,
Amber Riley,Amber Riley,,,,,,,,,
Amber Rose,Amber Rose,,,,,,,,,
Amy Purdy,Amy Purdy,,,,,,,,,
Andy Dick,Andy Dick,,,,,,,,,
Andy Grammer,Andy Grammer,,,,,,,,,
Andy Richter,Andy Richter,,,,,,,,,
Anna Delvey,Anna Delvey,,,,,,,,,
Anne Heche,Anne Heche,,,,,,,,,
Antonio Brown,Antonio Brown,,,,,,,,,
Antonio Sabato Jr.,Antonio Sabàto Jr.,,,,,,,,,
Apolo Anton Ohno,Apolo Ohno,,,,,,,,,
Ariana Madix,Ariana Madix,,,,,,,,,
Arike Ogunbowale,Arike Ogunbowale,,,,,,,,,
Ashley Hamiliton,The Secret Storm,,,,,,,,,
Audrina Patridge,Audrina Patridge,,,,,,,,,
Babyface,Babyface (musician),,,,,,,,,
Barbara Corcoran,Barbara Corcoran,,,,,,,,,
Baron Davis,Baron Davis,,,,,,,,,
Barry Williams,Barry Williams (actor),,,,,,,,,
Belinda Carlisle,Belinda Carlisle,,,,,,,,,
Bethany Mota,Bethany Mota,,,,https://www.youtube.com/@bethanymota,,,,,
Betsey Johnson,Betsey Johnson,,,,,,,,,
Bill Engvall,Bill Engvall,,,,,,,,,
Bill Nye,Bill Nye,,,,,,,,,
Billy Dee Williams,Billy Dee Williams,,,,,,,,,
Billy Ray Cyrus,Billy Ray Cyrus,,,,,,,,,
Bindi Irwin,Bindi Irwin,,,,,,,,,
Bobby Bones,Bobby Bones,,,,,,,,,
Bonner Bolton,Bonner Bolton,,,,,,,,,
Brandy,Brandy,,,,,,,,,
Brant Daugherty,Brant Daugherty,,,,,,,,,
Brian Austin Green,Brian Austin Green,,,,,,,,,
Bristol Palin,Bristol Palin,,,,,,,,,
Brooke Burke,Brooke Burke,,,,,,,,,
Brooks Nader,Brooks Nader,,,,,,,,,
Buzz Aldrin,Buzz Aldrin,,,,,,,,,
Calvin Johnson Jr.,Calvin Johnson,,,,,,,,,
Cameron Mathison,Cameron Mathison,,,,,,,,,
Candace Cameron Bure,Candace Cameron Bure,,,,,,,,,
Carlos PenaVega,Carlos PenaVega,,,,,,,,,
Carole Baskin,Carole Baskin,,,,,,,,,
Carson Kressley,Carson Kressley,,,,,,,,,
Chad Ochocinco,Chad Johnson,,,,,,,,,
Chaka Khan,Chaka Khan,,,,,,,,,
Chandler Kinney,Chandler Kinney,,,,,,,,,
Charity Lawson,The Bachelorette (American TV series) season 20,,,,,,,,,
Charles Oakley,Charles Oakley,,,,,,,,,
Charli D'Amelio,Charli D'Amelio,charlidamelio,,charlidamelio,https://www.youtube.com/channel/UCi3OE-aN09WOcN9d2stCvPg,,,155900000.0,,
Charlie White,Charlie White (figure skater),,,,,,,,,
Charlotte McKinney,Charlotte McKinney,,,,,,,,,
Charo,Charo,,,,,,,,,
Chaz Bono,Chaz Bono,,,,,,,,,
Chelsea Kane,Chelsea Kane,,,,,,,,,
Cheryl Ladd,Cheryl Ladd,,,,,,,,,
Chris Jericho,Chris Jericho,,,,,,,,,
Chris Kattan,Chris Kattan,,,,,,,,,
Chris Mazdzer,Chris Mazdzer,,,,,,,,,
Chris Soules,Chris Soules,,,,,,,,,
Chrishell Stause,Chrishell Stause,,,,,,,,,
Christina Milian,Christina Milian,,,,,,,,,
Christine Chiu,Bling Empire,,,,,,,,,
Chuck Liddell,Chuck Liddell,,,,,,,,,
Chuck Wicks,Chuck Wicks,,,,,,,,,
