Season,Week,Running_Order,Celebrity,Ballroom_Partner,Couple,Dance_Style,Weekly_Bottom_Two_Status
1,1,1,Joey & Ashly,,Joey & Ashly,Cha-cha-cha,
1,1,2,Rachel & Jonathan,,Rachel & Jonathan,Waltz,
1,1,3,Evander & Edyta,,Evander & Edyta,Cha-cha-cha,
1,1,4,Kelly & Alec,,Kelly & Alec,Waltz,
1,1,5,John & Charlotte,,John & Charlotte,Cha-cha-cha,
1,1,6,Trista & Louis,,Trista & Louis,Waltz,
1,2,1,Rachel & Jonathan,,Rachel & Jonathan,Rumba,Bottom Two
1,2,2,Joey & Ashly,,Joey & Ashly,Quickstep,Safe
1,2,3,Trista & Louis,,Trista & Louis,Rumba,Eliminated
1,2,4,John & Charlotte,,John & Charlotte,Quickstep,Safe
1,2,5,Kelly & Alec,,Kelly & Alec,Rumba,Safe
1,2,6,Evander & Edyta,,Evander & Edyta,Quickstep,Safe
1,3,1,Evander & Edyta,,Evander & Edyta,Jive,Eliminated
1,3,2,Rachel & Jonathan,,Rachel & Jonathan,Tango,Safe
1,3,3,Kelly & Alec,,Kelly & Alec,Jive,Safe
1,3,4,John & Charlotte,,John & Charlotte,Tango,Safe
1,3,5,Joey & Ashly,,Joey & Ashly,Jive,Bottom Two
1,4,1,Joey & Ashly,,Joey & Ashly,Samba,Safe
1,4,2,Rachel & Jonathan,,Rachel & Jonathan,Samba,Eliminated
1,4,3,John & Charlotte,,John & Charlotte,Samba,Bottom Two
1,4,4,Kelly & Alec,,Kelly & Alec,Samba,Safe
1,4,5,Joey & Ashly,John & Charlotte,Joey & Ashly / John & Charlotte / Kelly & Alec / Rachel & Jonathan,Group Viennese waltz,Safe
1,5,1,John & Charlotte,,John & Charlotte,Foxtrot,Safe
1,5,1,John & Charlotte,,John & Charlotte,,Safe
1,5,2,Kelly & Alec,,Kelly & Alec,Foxtrot,Bottom Two
1,5,2,Kelly & Alec,,Kelly & Alec,,Bottom Two
1,5,3,Joey & Ashly,,Joey & Ashly,Foxtrot,Eliminated
1,5,3,Joey & Ashly,,Joey & Ashly,,Eliminated
1,6,1,John & Charlotte,,John & Charlotte,Quickstep,Runners-Up
1,6,1,John & Charlotte,,John & Charlotte,,Runners-Up
1,6,2,Kelly & Alec,,Kelly & Alec,Samba,Winners
1,6,2,Kelly & Alec,,Kelly & Alec,,Winners
2,1,1,George & Edyta,,George & Edyta,Cha-cha-cha,Safe
2,1,2,Lisa & Louis,,Lisa & Louis,Waltz,Safe
2,1,3,Kenny & Andrea,,Kenny & Andrea,Cha-cha-cha,Eliminated
2,1,4,Stacy & Tony,,Stacy & Tony,Waltz,Safe
2,1,5,Drew & Cheryl,,Drew & Cheryl,Cha-cha-cha,Safe
2,1,6,Tia & Maks,,Tia & Maks,Waltz,Bottom Two
2,1,7,Master P & Ashly,,Master P & Ashly,Cha-cha-cha,Safe
2,1,8,Giselle & Jonathan,,Giselle & Jonathan,Waltz,Safe
2,1,9,Jerry & Anna,,Jerry & Anna,Cha-cha-cha,Safe
